Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",-152.209500,-73.025000,90.000000,bottom
"C2","22pF","C_0805_2012Metric",-146.621500,-63.246000,90.000000,bottom
"C3","22pF","C_0805_2012Metric",-137.223500,-63.246000,-90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-133.159500,-67.104500,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-146.431000,-86.106000,180.000000,bottom
"C6","1uF","C_0805_2012Metric",-131.953000,-75.565000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",-131.953000,-81.534000,-90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-115.882067,-74.930000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-121.216067,-57.606000,0.000000,bottom
"R1","22","R_0805_2012Metric",-119.819067,-69.517500,90.000000,bottom
"R2","22","R_0805_2012Metric",-122.105067,-69.517500,-90.000000,bottom
"R3","10k","R_0805_2012Metric",-129.159000,-67.056000,-90.000000,bottom
"R4","10k","R_0805_2012Metric",-152.209500,-81.534000,90.000000,bottom
"R5","5.1k","R_0805_2012Metric",-117.279067,-65.913000,90.000000,bottom
"R6","5.1k","R_0805_2012Metric",-124.391067,-65.913000,-90.000000,bottom
"SW1","SW_Push","SKQG-1155865",-124.662000,-88.519000,180.000000,bottom
"SW2","MX_SW_HS","SW_MX_HS_1u",-163.512500,-65.087500,180.000000,bottom
"SW3","MX_SW_HS","SW_MX_HS_1u",-163.512500,-84.137500,180.000000,bottom
"SW4","MX_SW_HS","SW_MX_HS_1u",-182.562500,-65.087500,180.000000,bottom
"SW5","MX_SW_HS","SW_MX_HS_1u",-182.562500,-84.137500,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",-142.191500,-76.670000,0.000000,bottom
"U2","SRV05-4","SOT-23-6",-120.987467,-65.913000,180.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-141.922500,-63.246000,180.000000,bottom
